dataset,image_path,relative_path,filename,parent_folder
Kaggle_2,C:\Users\human-12\.cache\kagglehub\datasets\weitianqi\plantseg\versions\1\plantsegv2\annotations\test\apple_black_rot_143.png,plantseg\versions\1\plantsegv2\annotations\test\apple_black_rot_143.png,apple_black_rot_143.png,test
Kaggle_2,C:\Users\human-12\.cache\kagglehub\datasets\weitianqi\plantseg\versions\1\plantsegv2\annotations\test\apple_black_rot_144.png,plantseg\versions\1\plantsegv2\annotations\test\apple_black_rot_144.png,apple_black_rot_144.png,test
Kaggle_2,C:\Users\human-12\.cache\kagglehub\datasets\weitianqi\plantseg\versions\1\plantsegv2\annotations\test\apple_black_rot_149.png,plantseg\versions\1\plantsegv2\annotations\test\apple_black_rot_149.png,apple_black_rot_149.png,test
Kaggle_2,C:\Users\human-12\.cache\kagglehub\datasets\weitianqi\plantseg\versions\1\plantsegv2\annotations\test\apple_black_rot_167.png,plantseg\versions\1\plantsegv2\annotations\test\apple_black_rot_167.png,apple_black_rot_167.png,test
Kaggle_2,C:\Users\human-12\.cache\kagglehub\datasets\weitianqi\plantseg\versions\1\plantsegv2\annotations\test\apple_black_rot_175.png,plantseg\versions\1\plantsegv2\annotations\test\apple_black_rot_175.png,apple_black_rot_175.png,test
Kaggle_2,C:\Users\human-12\.cache\kagglehub\datasets\weitianqi\plantseg\versions\1\plantsegv2\annotations\test\apple_black_rot_18.png,plantseg\versions\1\plantsegv2\annotations\test\apple_black_rot_18.png,apple_black_rot_18.png,test
Kaggle_2,C:\Users\human-12\.cache\kagglehub\datasets\weitianqi\plantseg\versions\1\plantsegv2\annotations\test\apple_black_rot_7.png,plantseg\versions\1\plantsegv2\annotations\test\apple_black_rot_7.png,apple_black_rot_7.png,test
Kaggle_2,C:\Users\human-12\.cache\kagglehub\datasets\weitianqi\plantseg\versions\1\plantsegv2\annotations\test\apple_black_rot_google_0001.png,plantseg\versions\1\plantsegv2\annotations\test\apple_black_rot_google_0001.png,apple_black_rot_google_0001.png,test
Kaggle_2,C:\Users\human-12\.cache\kagglehub\datasets\weitianqi\plantseg\versions\1\plantsegv2\annotations\test\apple_black_rot_google_0008.png,plantseg\versions\1\plantsegv2\annotations\test\apple_black_rot_google_0008.png,apple_black_rot_google_0008.png,test
Kaggle_2,C:\Users\human-12\.cache\kagglehub\datasets\weitianqi\plantseg\versions\1\plantsegv2\annotations\test\apple_black_rot_google_0037.png,plantseg\versions\1\plantsegv2\annotations\test\apple_black_rot_google_0037.png,apple_black_rot_google_0037.png,test
